;LEERINHOUD;;;;;;;;;;;;;;OPMERKINGEN
;Lesinhoud;Doel;Eindtermen tweede graad, basisvorming doorstroomfinaliteit;Cesuurdoelen tweede graad;NIEUW • Bedrijfswetenschappen (tweede graad);NIEUW • Biotechnieken;NIEUW • Natuurwetenschappen;Wiskunde B+;Wiskunde B+S;Wiskunde B+S';Wiskunde B - II - D;Wiskunde B+S'';Wiskundeplan tweede graad (5u);;
Diagnostische module;;;;;;;;;;;;;;;
;;Ik kan de rekenregels voor het rekenen met vierkantswortels uitdrukken in woorden en symbolen en toepassen bij het uitvoeren van bewerkingen.;06.03;;;;;II-Wis'-d 7;II-WisS-d A7;II-WisS'-d 7;II-Wis-d 7, II-Wis-d 7;II-WisS''-d 7;2AL01-8;;
;5 Rekenen met vierkantswortels;;;;;;;;;;;;;;
;;Ik kan rekenen met vierkantswortels.;06.03;;;;;II-Wis'-d 7;II-WisS-d A7;II-WisS'-d 7;II-Wis-d 7, II-Wis-d 7;II-WisS''-d 7;2AL01-8;;
;6 Schatten, rekenen en afronden;;;;;;;;;;;;;;
;;Ik kan de volgorde van bewerkingen met reële getallen toepassen en een resultaat schatten en afronden.;06.03;;;;;II-Wis'-d 7;II-WisS-d A7;II-WisS'-d 7;II-Wis-d 7;II-WisS''-d 7;2AL01-10;;
;;;;;;;;;;;;;;;
6 Eerstegraadsvergelijkingen in IR;;;;;;;;;;;;;;;
;1 Eigenschappen van gelijkheden;;;;;;;;;;;;;;
;;Ik ken de eigenschappen van gelijkheden en kan ze correct toepassen.;06.10;;;;;II-Wis'-d 14;II-WisS-d A18;II-WisS'-d 14;II-Wis-d 14;II-WisS''-d 18;;;
;2 Eerstegraadsvergelijkingen algebraïsch oplossen;;;;;;;;;;;;;;
;;Ik kan eerstegraadsvergelijkingen algebraïsch oplossen.;06.10;;;;;II-Wis'-d 14;II-WisS-d A18;II-WisS'-d 14;II-Wis-d 14;II-WisS''-d 18;2AL02-1;;
;3 Problemen oplossen met vergelijkingen;;;;;;;;;;;;;;
;;"Ik kan problemen oplossen die te herleiden zijn tot een eerstegraadsvergelijking met 
één onbekende.";06.11, 06.10;;;;;II-Wis'-d 16, II-Wis'-d 14;II-WisS-d A18, II-WisS-d A20;II-WisS'-d 16, II-WisS'-d 14;II-Wis-d 16, II-Wis-d 14;II-WisS''-d 20, II-WisS''-d 18;2AL02-4, 2AL02-3, 2AL02-1;;
;4 Omvormen van formules;;;;;;;;;;;;;;
;;Ik kan formules omvormen.;06.11;;;;;II-Wis'-d 16;II-WisS-d A20;II-WisS'-d 16;II-Wis-d 16;II-WisS''-d 20;2AL02-4;;
;5 Vergelijkingen met één parameter;;;;;;;;;;;;;;
;;Ik kan vergelijkingen bespreken met één onbekende en één of meer parameters.;;;;;;;;;;II-WisS''-d 18;2AL02-3;;
;;;;;;;;;;;;;;;
7 Gelijkvormige figuren;;;;;;;;;;;;;;;
;1 Gelijkvormige figuren;;;;;;;;;;;;;;
;;Ik kan gelijkvormigheid onderzoeken bij vlakke en ruimtelijke figuren.;06.05;;;;;II-Wis'-d 8;II-WisS-d A8;II-WisS'-d 8;II-Wis-d 8;II-WisS''-d 8;2ME02-1;;
;2 Gelijkvormigheidskenmerken bij driehoeken;;;;;;;;;;;;;;
;;Ik kan de gelijkvormigheidskenmerken van driehoeken afleiden en illustreren op een tekening.;06.05;;;;;II-Wis'-d 8;II-WisS-d A8;II-WisS'-d 8;II-Wis-d 8;II-WisS''-d 8;2ME02-2;;
;3 Toepassingen;;;;;;;;;;;;;;
;;Ik ken het begrip middenparallel, de eigenschap en de omgekeerde eigenschap en kan dit gebruiken om meetkundige problemen op te lossen.;06.08, 06.05;;;;;II-Wis'-d 9;II-WisS-d A9;II-WisS'-d 9;II-Wis-d 9;II-WisS''-d 9;2ME02-3;;
;;Ik kan de gelijkvormigheid van driehoeken gebruiken bij het berekenen van de lengte van lijnstukken, bij het bepalen van hoekgroottes en in toepassingen in de ruimte.;06.08;;;;;II-Wis'-d 9;II-WisS-d A9;II-WisS'-d 9;II-Wis-d 9;II-WisS''-d 9;2ME02-3, 2ME02-2;;
;;;;;;;;;;;;;;;
8 Algebraïsche verbanden en ongelijkheden;;;;;;;;;;;;;;;
;1 Het verband tussen 2 grootheden weergeven;;;;;;;;;;;;;;
;;Ik kan informatie verwerken met behulp van een tabel, grafiek of formule en het verband herkennen en interpreteren.;06.12;;;;;II-Wis'-d 17;II-WisS-d A21;II-WisS'-d 17;II-Wis-d 17;II-WisS''-d 21;2AN01-1;;
;2 Reële functies;;;;;;;;;;;;;;
;;Ik ken de begrippen functie, domein, bereik en nulwaarde en kan deze begrippen toepassen.;06.14, 06.12;;;;;II-Wis'-d 20, II-Wis'-d 17;II-WisS-d A24, II-WisS-d A21;II-WisS'-d 20, II-WisS'-d 17;II-Wis-d 20, II-Wis-d 17;II-WisS''-d 24, II-WisS''-d 21;2AN01-2;;
;3 Ongelijkheden;;;;;;;;;;;;;;
;;Ik kan ongelijkheden algebraïsch oplossen in R, en ik kan ongelijkheden met één parameter oplossen en bespreken.;;;;;;;;;;;;;
;4 Problemen oplossen;;;;;;;;;;;;;;
;;Ik kan de onderlinge ligging van twee grafieken vergelijken en interpreteren.;06.14, 06.10;;;;;II-Wis'-d 21;II-WisS-d A21;II-WisS'-d 21;II-Wis-d 21;II-WisS''-d 21;2AL02-2;;
;;Ik kan problemen oplossen met ongelijkheden.;06.10;;;;;II-Wis'-d 15;II-WisS-d A19;II-WisS'-d 15;II-Wis-d 15;II-WisS''-d 19;2AL02-3;;
;;;;;;;;;;;;;;;
9 Homothetie, projectie en de stelling van Thales;;;;;;;;;;;;;;;
;1 Transformaties in het vlak;;;;;;;;;;;;;;
;;Ik ken de eigenschappen van homothetieën en kan met ICT het beeld bepalen van een eenvoudige figuur onder een homothetie.;;;WD2_06.04.01;;WD2_06.08.01;;II-WisS-d A8;II-WisS'-d 8;;II-WisS''-d 8;2ME02-6;;
;;Ik kan isometrieën en homothetieën definiëren.;;;WD2_06.04.01;;WD2_06.08.01;;II-WisS-d A8;II-WisS'-d 8;;II-WisS''-d 8;2ME02-6;;
;;Ik kan het beeld van een punt, rechte of lijnstuk door evenwijdige projectie bepalen.;;;WD2_06.04.02;;WD2_06.08.02;;;;;;2ME02-4;;
;2 De stelling van Thales;;;;;;;;;;;;;;
;;Ik kan de stelling van Thales toepassen bij constructies, bij het berekenen van de lengte van lijnstukken en bij vraagstukken met driehoeken uit de technische wereld.;;;WD2_06.04.02;;WD2_06.08.02;II-Wis'-d 9;II-WisS-d A9;II-WisS'-d 9;II-Wis-d 9;II-WisS''-d 9;2ME02-5;;
;;Ik kan de lengte van lijnstukken berekenen bij gelijkvormige rechthoekige driehoeken en bij driehoeken met een gemeenschappelijk hoekpunt waarbij de overstaande zijden evenwijdig zijn.;;;WD2_06.04.02;;WD2_06.08.02;II-Wis'-d 9;II-WisS-d A9;II-WisS'-d 9;II-Wis-d 9;II-WisS''-d 9;2ME02-5;;
;3 Bewijs van de stelling van Thales;;;;;;;;;;;;;;
;;"Ik kan de stelling van Thales bewijzen en gebruiken bij het verklaren van meetkundige 
eigenschappen.";;;WD2_06.04.02;;WD2_06.08.02;II-Wis'-d 9;II-WisS-d A9;II-WisS'-d 9;II-Wis-d 9;II-WisS''-d 9;2ME02-5;;
;4 Metrische betrekkingen in een rechthoekige driehoek;;;;;;;;;;;;;;
;;Ik ken de metrische betrekkingen in een rechthoekige driehoek en kan deze gebruiken om meetkundige problemen op te lossen .;;;WD2_06.04.02;;WD2_06.08.02;II-Wis'-d 9;II-WisS-d A9;II-WisS'-d 9;II-Wis-d 9;II-WisS''-d 9;2ME02-3;;
;;;;;;;;;;;;;;;
10 Consolidatie;;;;;;;;;;;;;;;
;;Ik kan school- en vaktaal gebruiken.;13.3;;;;;;;;;;A5;;
;;Ik kan de reeds verworven leerstof toepassen in een andere context.;13.1;;;;;;;;;;;;
;;Ik kan vraagstukken en problemen oplossen door te mathematiseren en demathematiseren en door gebruik te maken van heuristieken.;06.22;;;;;;;;;;A3;;
;;Ik kan de wisselwerking tussen wetenschappen, technologie, wiskunde en de maatschappij illustreren aan de hand van maatschappelijke uitdagingen.;06.53;;;;;;;;;;A2;;
;;;;;;;;;;;;;;;
11 Stelling van Pythagoras;;;;;;;;;;;;;;;
