;LEERINHOUD;;;;;;;;;;;;;;OPMERKINGEN
;Lesinhoud;Doel;Eindtermen tweede graad, basisvorming doorstroomfinaliteit;Cesuurdoelen tweede graad;NIEUW • Bedrijfswetenschappen (tweede graad);NIEUW • Biotechnieken;NIEUW • Natuurwetenschappen;Wiskunde B+;Wiskunde B+S;Wiskunde B+S';Wiskunde B - II - D;Wiskunde B+S'';Wiskundeplan tweede graad (5u);;
Diagnostische module;;;;;;;;;;;;;;;
;;Ik kan een functie f met voorschift f(x) = a(x -p)²+ q bespreken en de grafiek opbouwen.;;06.04.02, 06.04.01;WD2_06.04.11.01, WD2_06.04.10;;WD2_06.08.11.01, WD2_06.08.10;II-Wis'-d 26, II-Wis'-d 25, II-Wis'-d 24;II-WisS-d A30, II-WisS-d A31, II-WisS-d A29;II-WisS'-d 27, II-WisS'-d 26, II-WisS'-d 25;;II-WisS''-d 29, II-WisS''-d 31, II-WisS''-d 30;2AN03-3, 2AN03-1;;
;;;;;;;;;;;;;;;
4 Consolidatie;;;;;;;;;;;;;;;
;;Ik kan school- en vaktaal gebruiken.;13.3;;;;;;;;;;A5;;
;;Ik kan de reeds verworven leerstof toepassen in een andere context.;13.1;;;;;;;;;;;;
;;Ik kan vraagstukken en problemen oplossen door te mathematiseren en demathematiseren en door gebruik te maken van heuristieken.;06.22;;;;;;;;;;A3;;
;;Ik kan de wisselwerking tussen wetenschappen, technologie, wiskunde en de maatschappij illustreren aan de hand van maatschappelijke uitdagingen.;06.53;;;;;;;;;;A2;;
;;;;;;;;;;;;;;;
5 Problemen oplossen met tweedegraadsfuncties;;;;;;;;;;;;;;;
;1 Kenmerken van de functie f(x) = ax² + bx + c;;;;;;;;;;;;;;
;;Ik kan de top en de symmetrieas van de grafiek van een tweedegraadsfunctie bepalen.;;06.04.02;WD2_06.04.11.02;;WD2_06.08.11.02;II-Wis'-d 26;II-WisS-d A31;II-WisS'-d 27;;II-WisS''-d 31;2AN03-2;;
;2 Functievoorschriften opstellen;;;;;;;;;;;;;;
;;Ik kan een functievoorschrift van een tweedegraadsfunctie opstellen die aan bepaalde voorwaarden moet voldoen.;;06.04.01;WD2_06.04.10;;WD2_06.08.10;II-Wis'-d 25;II-WisS-d A30;II-WisS'-d 26;;II-WisS''-d 30;2AN03-4;;
;3 Problemen oplossen;;;;;;;;;;;;;;
;;Ik kan extremumproblemen oplossen.;;06.04.02, 06.04.01;WD2_06.04.11.02, WD2_06.04.11, WD2_06.04.10;;WD2_06.08.11.02, WD2_06.08.11.01, WD2_06.08.11, WD2_06.08.10;II-Wis'-d 26, II-Wis'-d 25;II-WisS-d A30, II-WisS-d A31;II-WisS'-d 27, II-WisS'-d 26;;II-WisS''-d 31, II-WisS''-d 30;2AN03-4;;
;;;;;;;;;;;;;;;
6 De goniometrische cirkel en verwante hoeken;;;;;;;;;;;;;;;
;1 Goniometrische getallen van een hoek;;;;;;;;;;;;;;
;;Ik kan de goniometrische getallen sinus, cosinus, tangens en cotangens van een hoek definiëren en berekenen in een goniometrische cirkel.;;06.08.06, 06.04.06;WD2_06.04.03;;WD2_06.08.03;;II-WisS-d A15;;;II-WisS''-d 15;2ME06-U, 2ME06-2, 2ME06-1;;
;2 Toepassingen;;;;;;;;;;;;;;
;;Ik kan de hoofdeigenschap van de goniometrie formuleren en toepassen.;;06.08.06, 06.04.06;WD2_06.04.03;WD2_06.09.02;WD2_06.08.03;;II-WisS-d A16;;;II-WisS''-d 16;2ME06-3;;
;;Ik kan de goniometrische getallen gebruiken in verschillende toepassingen.;;06.08.06, 06.04.06;WD2_06.04.03;WD2_06.09.02;WD2_06.08.03;;II-WisS-d A16;;;II-WisS''-d 16;2ME06-5;;
;3 Goniometrische getallen van verwante hoeken;;;;;;;;;;;;;;
